Cell10,Cell10bake1,Cell10bake2,Cell10bake3,Cell11,Cell12,Cell12bake1,Cell13,Cell13bake1,Cell13bake2,Cell14,Cell14bake1,Cell15,Cell15bake1,Cell16,Cell16bake1,Cell17,Cell17bake1
0.334841629,0.334841629,0.483271375,0,0.4,0.162271805,0.162271805,0.434163701,0.434163701,0.283646889,0.488549618,0.488549618,0.381818182,0.49122807,0.3930131,0.3930131,0.307692308,0.220248668
0.334841629,0.334841629,0.151624549,0,0.333848532,0.10619469,0.10619469,0.434163701,0.434163701,0.335616438,0.488549618,0.488549618,0.409207161,0.542857143,0.373205742,0.373205742,0.388888889,0.171701113
0,0,0,0.407272727,0.419182948,0.567567568,0.567567568,0.434163701,0.434163701,0.342629482,0.3878327,0.3878327,0.38,0.885416667,0.364444444,0.364444444,0.229555237,0.248803828
0,0,0,0.332892999,0.390572391,0.266666667,0.266666667,0,0,0.20952381,0,0,0.545931759,0,0.351724138,0.351724138,0.212290503,0
0.483271375,0.483271375,0.407272727,0.411764706,0.428265525,0.256081946,0.256081946,0.337078652,0.337078652,0.981481481,0.282131661,0.282131661,0.49122807,0.467889908,0.361904762,0.361904762,0.220248668,0.418118467
0.151624549,0.151624549,0.332892999,0.329979879,0.756756757,0.247978437,0.247978437,0.283646889,0.283646889,0.683760684,0.319508449,0.319508449,0.542857143,,0.630872483,0.630872483,0.171701113,
0,,,,0.461273666,0.278931751,0.278931751,0.335616438,0.335616438,0.4,0.370820669,0.370820669,0.885416667,,0.737588652,0.737588652,0.248803828,
0,,,,0.571428571,0.200312989,0.200312989,0.342629482,0.342629482,0.409448819,0.375451264,0.375451264,0,,0.664652568,0.664652568,0,
0.407272727,,,,,0.211221122,0.211221122,0.20952381,0.20952381,,0.381338742,0.381338742,0.467889908,,0.262295082,0.262295082,0.418118467,
0.332892999,,,,,0.291187739,0.291187739,0.981481481,,,0.543478261,0.543478261,,,0.205655527,0.205655527,,
0.411764706,,,,,0.141756549,0.141756549,0.683760684,,,0.144927536,0.144927536,,,,,,
0.329979879,,,,,0.154093098,0.154093098,0.4,,,0.362030905,0.362030905,,,,,,
0,,,,,,,0.409448819,,,,,,,,,,
0,,,,,,,,,,,,,,,,,
