Date	Time	Abs-Peak	Ts
2021-07-08	10:00	0	0
2021-07-08	14:47	0.162271805	104.4932079
2021-07-19	10:11	0.10619469	317.2588832
2021-07-19	10:21	0.10619469	255.1020408
2021-07-19	15:36	0.567567568	168.3501684
2021-07-20	9:53	0.266666667	177.3993259
2021-07-20	14:11	0.256081946	403.2258065
2021-07-21	11:57	0.247978437	396.8253968
2021-07-23	10:33	0.278931751	453.1037608
2021-07-28	12:32	0.200312989	294.1176471
2021-08-04	14:43	0.211221122	294.0311673
2021-08-09	11:10	0.291187739	288.6836028
2021-08-16	10:32	0.141756549	307.8817734
